Capacity,NumElements,Time(ns)
175,30,7522541,1100.4814814814813
150,25,1270167,780.9999999999999
125,20,928291,547.7735849056604
100,15,1068083,281.0175438596492
100,10,294125,209.25
25,5,18459,44.769230769230774
