Capacity,NumElements,Time(ns)
175,30,154694250,1100.4814814814815
150,25,4858666,781.0
125,20,132625,1223.2142857142858
100,15,16375,281.0175438596491
100,10,11500,213.0
25,5,2375,44.76923076923077
