Capacity,NumElements,Time(ns)
175,30,1200410332,1100.4814814814815
150,25,26596279,781.0
125,20,767012,1223.2142857142858
100,15,47386,281.0175438596491
100,10,2771759,213.0
25,5,23289,44.76923076923077
