Capacity,NumElements,Time(ns)
175,30,2894417,1103.5185185185185
150,25,288968,785.0
125,20,301544,550.566037735849
100,15,194133,282.9298245614035
100,10,95610,211.0
25,5,74347,46.46153846153846
