Capacity,NumElements,Time(ns)
175,30,44897431,1100.4814814814813
150,25,2942270,780.9999999999999
125,20,3710056,547.7735849056604
100,15,3283509,281.0175438596492
100,10,1377994,209.25
25,5,110784,44.769230769230774
